"id";"title";"description";"photo_url";"isbn";"release_year";"user_id"
11;"Позже";"Джейми Конклин, живущий с матерью в Нью-Йорке, хочет быть всего лишь обычным подростком… но у него есть весьма необычный дар. Дар, который его мама настоятельно просит скрывать от других.";"https://cdn.litres.ru/pub/c/cover_200/66079668.webp";"978-5-699-53962-18";2023;1
12;"Чужак";"Жители небольшого городка в ужасе: кто-то зверски убил и изнасиловал одиннадцатилетнего Фрэнка Питерсона. И этот кто-то – школьный учитель и тренер бейсбольной команды Терри Мейтленд. Его видели с Фрэнком в день преступления, а отпечатки пальцев Мейтленда найдены на месте убийства.";"https://cdn.litres.ru/pub/c/cover_200/40848833.webp";"978-5-699-53962-19";2024;1
13;"Стрелок";"Стрелок Роланд уже давно преследует по пустыне загадочного человека в черном. На неработающей станции Роланд обнаруживает Джейка. Мальчик рассказывает, что в своем мире его сбил автомобиль, из-за чего Джейк погиб, а затем странным образом очутился здесь. Роланд с новым спутником продолжают путь вместе, направляясь к горному хребту в погоне все за тем же человеком в черном.";"https://cdn.litres.ru/pub/c/cover_200/122201.webp";"978-5-699-53962-20";2024;1
14;"Мёртвая зона";"Джонни Смит вел тихую жизнь в маленьком городке. У него была любимая работа, невеста и мама, о которой он заботился. Но автокатастрофа повернула его жизнь на 360 градусов… И вот, спустя шесть лет, он вышел из комы. Любимая замужем за другим, мать умерла, а сам он начал видеть будущее.";"https://cdn.litres.ru/pub/c/cover_200/4387335.webp";"978-5-699-53962-21";2024;1
15;"A Game of Thrones";"HBO’s hit series A GAME OF THRONES is based on George R. R. Martin’s internationally bestselling series A SONG OF ICE AND FIRE, the greatest fantasy epic of the modern age. A GAME OF THRONES is the first volume in the series.Summers span decades. Winter can last a lifetime. And the struggle for the Iron Throne has begun.As Warden of the north, Lord Eddard Stark counts it a curse when King Robert bestows on him the office of the Hand. His honour weighs him down at court where a true man does what he will, not what he must … and a dead enemy is a thing of beauty.The old gods have no power in the south, Stark’s family is split and there is treachery at court. Worse, the vengeance-mad heir of the deposed Dragon King has grown to maturity in exile in the Free Cities. He claims the Iron Throne.";"https://cdn.litres.ru/pub/c/cover_200/63004405.webp";"978-5-699-53962-22";2024;1
16;1984;"Одна из самых знаменитых антиутопий XX века – роман «1984» английского писателя Джорджа Оруэлла (1903–1950) был написан в 1948 году и продолжает тему «преданной революции», раскрытую в «Скотном дворе». По Оруэллу, нет и не может быть ничего ужаснее тотальной несвободы.";"https://cdn.litres.ru/pub/c/cover_123/129098.webp";"978-5-699-53962-23";2024;1
17;"Скотный двор";"Притча, полная горькой иронии и сарказма. Трагичная история сообщества животных, решившихся избавиться от угнетения людьми, и попавшего под изуверскую власть свиней.";"https://cdn.litres.ru/pub/c/cover_123/63765952.webp";"978-5-699-53962-24";2024;1
18;"Воля и самоконтроль: Как гены и мозг мешают нам бороться с соблазнами";"Почему одни люди с легкостью отказываются от соблазнов, а другие не в силах им противостоять? Автор книги, собрав самые свежие научные данные, доказывает, что люди, которым сложно сопротивляться искушениям, физиологически и биохимически отличаются от тех, у кого этих проблем нет. Из-за генетических особенностей у таких людей иначе распределяются и работают нейромедиаторы – вещества, которые регулируют работу мозга. Нарушения бывают разными: обладателям одних постоянно не хватает ощущения удовольствия, носители других испытывают от приятных вещей настолько сильные ощущения, что не могут противиться им.";"https://cdn.litres.ru/pub/c/cover_200/27450576.webp";"978-5-699-53962-25";2023;1
19;"Уравнение Бога. В поисках теории всего";"«Уравнение Бога» – это увлекательный рассказ о поиске самой главной физической теории, способной объяснить рождение Вселенной, ее судьбу и наше место в ней. Знаменитый физик и популяризатор науки Митио Каку прослеживает весь путь удивительных открытий – от Ньютоновой революции и основ теории электромагнетизма, заложенных Фарадеем и Максвеллом, до теории относительности Эйнштейна, квантовой механики и современной теории струн, – ведущий к той великой теории, которая могла бы объединить все физические взаимодействия и дать полную картину мира. Уже более полувека физики разных стран не могут достичь этой грандиозной цели. Правильный ли путь они избрали? Есть ли «свет в конце тоннеля»? Об этом – новая книга Митио Каку.";"https://cdn.litres.ru/pub/c/cover_200/66590930.webp";"978-5-699-53962-26";2023;1
20;"Теория всего. От сингулярности до бесконечности: происхождение и судьба Вселенной";"Стивен Хокинг – поистине великий гений современности. Тяжелая болезнь, парализовавшая почти все тело, не помешала ему быть блестящим ученым. Хокинг исследовал сложнейшие вещи, такие как квантовая механика, черные дыры, теория струн, да и вообще строение нашего мира в целом. Более того, он писал об этом книги, где объяснял эти вещи доступным и интересным языком. Название книги – «Теория всего» – говорит само за себя. В ней Хокинг рассматривает, как устроена наша Вселенная, по каким законам она функционирует, как она появилась и что, возможно, ждет ее в будущем.";"https://cdn.litres.ru/pub/c/cover_200/10434283.webp";"978-5-699-53962-27";2023;1
21;"Краткие ответы на большие вопросы";"Стивен Хокинг, величайший ученый современности, изменил наш мир. Его уход – огромная потеря для человечества. В своей финальной книге, над которой Стивен Хокинг работал практически до самого конца, великий физик делится с нами своим отношением к жизни, цивилизации, времени, Богу, к глобальным вещам, волнующим каждого из нас.";"https://cdn.litres.ru/pub/c/cover_200/39500497.webp";"978-5-699-53962-28";2023;1
22;"Стивен Хокинг. Жизнь среди звезд";"История ученого и личная биография объединились в этой книге, чтобы сделать полным рассказ о выдающемся человеке. Стивен Хокинг был необычным физиком: ему, возможно, удалось сделать больше, чем многим другим представителям академической науки, чтобы расширить наше, обывательское, понимание законов Вселенной.";"https://cdn.litres.ru/pub/c/cover_200/39500585.webp";"978-5-699-53962-29";2024;1
23;"Бог создал целые числа. Математические открытия, изменившие историю";"Английский физик-теоретик, космолог и астрофизик Стивен Хокинг прославился не только своей исследовательской работой, но и популяризацией науки. Он написал ряд книг, которые простым языком объясняют широкому кругу читателей устройство Вселенной, пространства и времени. По-настоящему культовыми стали его издания «Происхождение (почти) всего», «Джордж и Большой взрыв», «Кратчайшая история времени». Его антология 2005 года «Бог создал целые числа. Математические открытия, изменившие историю» посвящена истории математики.";"https://cdn.litres.ru/pub/c/cover_200/67427189.webp";"978-5-699-53962-30";2024;1
24;"Понедельник начинается в субботу";"Программист Александр Привалов отправляется в путешествие по России. В пути, неподалеку от Соловца, он встречает двух сотрудников местного вуза со странным названием НИИЧАВО. А затем соглашается переночевать в институтском музее Изнакурнож на улице Лукоморье и практически попадает в сказочную реальность…";"https://cdn.litres.ru/pub/c/cover_200/121724.webp";"978-5-699-53962-31";2024;1
25;"Трудно быть богом";"В государстве Анканар, что находится на другой планете, живут существа, внешне очень похожие на людей. Если брать по земным меркам, их цивилизация достигла уровня позднего Средневековья.";"https://cdn.litres.ru/pub/c/cover_200/127578.webp";"978-5-699-53962-32";2024;1
26;"Обитаемый остров";"Фантастическая повесть «Обитаемый остров» рассказывает о судьбе молодого землянина, человека XXII века, попавшего на неизвестную планету. Его космический корабль терпит крушение, и он оказывается один в совершенно чуждом ему, непонятном и враждебном мире. Много необыкновенных приключений приходится ему испытать, прежде чем он находит друзей и определяет свое место в этом странном мире.";"https://cdn.litres.ru/pub/c/cover_200/123489.webp";"978-5-699-53962-33";2024;1
27;"Полдень, XXII век";"«Полдень, XXII век». Центральное произведение знаменитого цикла братьев Стругацких о мире будущего. Шедевр отечественной (и мировой) утопической фантастики, выдержавший проверку временем – и сейчас читающийся с таким же удовольствием, как и десятилетия назад. Роман, который сами авторы называли книгой о «Светлом, Чистом, Интересном мире».";"https://cdn.litres.ru/pub/c/cover_200/144442.webp";"978-5-699-53962-34";2023;1
28;"Хищные вещи века";"";"https://cdn.litres.ru/pub/c/cover_200/121719.webp";"978-5-699-53962-35";2023;1
29;"Дьявол среди людей";"Ироничная и мрачноватая «сказка для взрослых». Последнее из произведений, опубликованных под псевдонимом С.Ярославцев, написанное Аркадием Стругацким «сольно».";"https://cdn.litres.ru/pub/c/cover_200/127624.webp";"978-5-699-53962-36";2024;1
30;"Подробности жизни Никиты Воронцова";"Вторая из повестей, написанных А.Стругацким под псевдонимом С.Ярославцев. Человек живёт в кольце времени – раз за разом умирает в 1977-м – в одно и то же время, с точностью до минуты.";"https://cdn.litres.ru/pub/c/cover_123/127604.webp";"978-5-699-53962-37";2024;1
31;"Чапаев и Пустота";"Поэт Петр Пустота живет одновременно в двух временах: в суровом 1918 году и в лихие девяностые. В первой реальности Петру довелось побывать в революционном Петрограде. Там он познакомился с Василием Чапаевым и вскоре отправился с ним на фронт, чтобы сражаться с «беляками».";"https://cdn.litres.ru/pub/c/cover_200/137941.webp";"978-5-699-53962-38";2024;1
32;"TRANSHUMANISM INC.";"206 год Green Power. Вот уже много лет люди используют уникальную технологию сохранения человеческого мозга отдельно от тела. Нейроны, в отличие от клеток тела, не стареют, так что жить в таком состоянии можно вечно. Те, кто решился на процедуру отделения мозга, опосредованно взаимодействуют с реальностью, основную часть времени проводя в мире виртуальном. Естественно, эта технология стоит баснословных денег, так что позволить себе процедуру могут только избранные.";"https://cdn.litres.ru/pub/c/cover_200/65961689.webp";"978-5-699-53962-39";2023;1
33;"Тайные виды на гору Фудзи";"В этом романе Виктор Пелевин поднимает две любимых темы – о Древнем Востоке и нынешней России. Писатель мастерски изображает различные явления нашей действительности, а также пытается постичь извечную проблему всего человечества – постоянную погоню за счастьем.";"https://cdn.litres.ru/pub/c/cover_200/37672212.webp";"978-5-699-53962-40";2023;1
34;"S.N.U.F.F.";"В постапокалиптическом мире есть две страны – Уркаина, где живут малоразвитые «орки», и висящий в небе искусственный огромный шар Бизантиум с «людьми».";"https://cdn.litres.ru/pub/c/cover_200/2547755.webp";"978-5-699-53962-41";2023;1
